simplified,traditional,pinyin_1,pinyin_2,english,hsk_level
推广,推廣,tui1guang3,tuīguǎng,popularize; to spread,5
促使,促使,cu4shi3,cùshǐ,to urge; impel; to cause; to push,5
空闲,空閑,kong4xian2,kòngxián,leisure; free time; idle; unused,5
难免,難免,nan2mian3,nánmiǎn,hard to avoid; difficult to escape from,5
小气,小氣,xiao3qi4,xiǎoqì,stingy; petty,5
叙述,敘述,xu4shu4,xùshù,retell; narrate,5
干燥,干燥,gan1zao4,gānzào,"to dry (of paint, cement, etc.); dry; dryness",5
议论,議論,yi4lun4,yìlùn,discuss; to comment; talk about,5
改正,改正,gai3zheng4,gǎizhèng,to correct; amend,5
人事,人事,ren2shi4,rénshì,personnel,5
初级,初級,chu1ji2,chūjí,junior; primary,5
长途,長途,chang2tu2,chángtú,long distance,5
急诊,急診,ji2zhen3,jízhěn,emergency call; emergency treatment,5
优惠,優惠,you1hui4,yōuhuì,preferential; favorable,5
美术,美術,mei3shu4,měishù,the fine arts; art,5
广泛,廣泛,guang3fan4,guǎngfàn,extensive; wide ranging,5
调皮,調皮,tiao2pi2,tiáopí,naughty; mischievous; unruly,5
讲座,講座,jiang3zuo4,jiǎngzuò,a lecture or course of lectures; lecture hall,5
窄,窄,zhai3,zhǎi,narrow; petty; hard-up,5
斜,斜,xie2,xié,slanting; tilted,5
光滑,光滑,guang1hua2,guānghuá,glossy; sleek; smooth,5
诚恳,誠懇,cheng2ken3,chéngkěn,honest; sincere,5
熟练,熟練,shu2lian4,shúliàn,practiced; proficient; skilled,5
冷淡,冷淡,leng3dan4,lěngdàn,cold; chill; indifferent; unconcerned,5
乙,乙,yi3,yǐ,two; twist (2nd Heavenly Stem) (Kangxi radical 5),5
面积,面積,mian4ji1,miànjī,(surface) area,5
办理,辦理,ban4li3,bànlǐ,to handle; to transact; to conduct,5
农业,農業,nong2ye4,nóngyè,agriculture; farming,5
合影,合影,he2ying3,héyǐng,joint photo; group photo,5
舍不得,舍不得,she3bu5de5,shěbude,hate to part with; begrudge doing something,5
趋势,趨勢,qu1shi4,qūshì,trend; tendency,5
交际,交際,jiao1ji4,jiāojì,socialize; social intercourse; communication,5
繁荣,繁榮,fan2rong2,fánróng,prosperous; prosperity; booming (economy),5
格外,格外,ge2wai4,géwài,especially; additionally,5
主观,主觀,zhu3guan1,zhǔguān,subjective,5
小麦,小麥,xiao3mai4,xiǎomài,wheat,5
慌张,慌張,huang1zhang1,huāngzhāng,flustered; flurried,5
本领,本領,ben3ling3,běnlǐng,skill; ability; capability,5
梳子,梳子,shu1zi5,shūzi,comb; hairbrush,5
分布,分布,fen1bu4,fēnbù,be distributed (over an area); be scattered,5
老百姓,老百姓,lao3bai3xing4,lǎobǎixìng,ordinary people; the person on the street; civilians,5
促进,促進,cu4jin4,cùjìn,promote (an idea or cause); to advance,5
桔子,桔子,ju2zi5,júzi,tangerine,5
姥姥,姥姥,lao3lao5,lǎolao,maternal grandmother,5
中介,中介,zhong1jie4,zhōngjiè,agent; act as an intermediary,5
爱护,愛護,ai4hu4,àihù,cherish; reassure; take good care of,5
开幕式,開幕式,kai1mu4shi4,kāimùshì,opening ceremony,5
勤奋,勤奮,qin2fen4,qínfèn,hardworking; diligent; industrious,5
字幕,字幕,zi4mu4,zìmù,subtitles; captions,5
自觉,自覺,zi4jue2,zìjué,conscious; be aware of; self-motivated,5
实用,實用,shi2yong4,shíyòng,practical; pragmatic; functional,5
象棋,象棋,xiang4qi2,xiàngqí,chess; Chinese chess,5
兑换,兌換,dui4huan4,duìhuàn,to exchange; to convert (currencies),5
照常,照常,zhao4chang2,zhàocháng,as usual; normal,5
傍晚,傍晚,bang4wan3,bàngwǎn,in the evening; when night falls,5
夹子,夾子,jia1zi5,jiāzi,clip; tongs; folder,5
讲究,講究,jiang3jiu5,jiǎngjiu,Be particular about; fastidious; stress; exquisite ; careful study,5
用功,用功,yong4 gong1,yòng gōng,diligent; industrious; hardworking,5
缩短,縮短,suo1duan3,suōduǎn,shorten; cut down; curtail,5
振动,振動,zhen4dong4,zhèndòng,vibrate; vibration,5
不耐烦,不耐煩,bu2nai4fan2,búnàifán,impatience; impatient,5
单调,單調,dan1diao4,dāndiào,monotonous; dull,5
轻视,輕視,qing1shi4,qīngshì,contempt; to scorn; scornful,5
发票,發票,fa1piao4,fāpiào,receipt or bill for purchase; invoice,5
学历,學歷,xue2li4,xuélì,educational background; school record,5
时差,時差,shi2cha1,shíchā,jetlag; time difference,5
岛屿,島嶼,dao3yu3,dǎoyǔ,islands,5
艰巨,艱巨,jian1ju4,jiānjù,very difficult; arduous; hard,5
纷纷,紛紛,fen1fen1,fēnfēn,one after another; in succession; in profusion; diverse; pell-mell,5
长辈,長輩,zhang3bei4,zhǎngbèi,an elder; an elder generation,5
竹子,竹子,zhu2zi5,zhúzi,bamboo,5
朗读,朗讀,lang3du2,lǎngdú,read aloud,5
打喷嚏,打噴嚏,da3pen1ti4,dǎpēntì,to sneeze,5
一再,一再,yi2zai4,yízài,repeatedly; again and again,5
行人,行人,xing2ren2,xíngrén,pedestrian,5
可见,可見,ke3jian4,kějiàn,it can clearly be seen that; clear,5
再三,再三,zai4san1,zàisān,over and over again; repeatedly,5
酱油,醬油,jiang4you2,jiàngyóu,soy sauce,5
灰心,灰心,hui1 xin1,huī xīn,lose heart; be discouraged,5
样式,樣式,yang4shi4,yàngshì,type; style; form,5
刻苦,刻苦,ke4ku3,kèkǔ,hardworking; assiduous,5
悠久,悠久,you1jiu3,yōujiǔ,established; long; longstanding,5
作文,作文,zuo4 wen2,zuò wén,write an essay; essay,5
无奈,無奈,wu2nai4,wúnài,can't help but; have no choice,5
结账,結賬,jie2zhang4,jiézhàng,pay the bill; settle accounts,5
寿命,壽命,shou4ming4,shòumìng,life span; life expectancy,5
因而,因而,yin1'er2,yīn'ér,therefore; as a result; thus,5
硬件,硬件,ying4jian4,yìngjiàn,hardware,5
疼爱,疼愛,teng2 ai4,téng ài,love dearly; be very fond of,5
游览,游覽,you2lan3,yóulǎn,go sight-seeing; tour,5
随手,隨手,sui2shou3,suíshǒu,convenient; without extra trouble,5
抽象,抽象,chou1xiang4,chōuxiàng,abstract; abstraction,5
逐步,逐步,zhu2bu4,zhúbù,step by step; gradually,5
试卷,試卷,shi4juan4,shìjuàn,exam paper; test paper,5
委屈,委屈,wei3qu5,wěiqu,feel wronged; nurse a grievance,5
书架,書架,shu1jia4,shūjià,bookshelf,5
农村,農村,nong2cun1,nóngcūn,rural area; countryside,5
除夕,除夕,chu2xi1,chúxī,Lunar New Year's Eve,5
押金,押金,ya1jin1,yājīn,security deposit; down payment,5
公元,公元,gong1yuan2,gōngyuán,(year) AD or CE; Christian era; common era,5
充电器,充電器,chong1dian4qi4,chōngdiànqì,battery charger,5
退步,退步,tui4bu4,tuìbù,to degenerate; to regress,5
风俗,風俗,feng1su2,fēngsú,social custom,5
概括,概括,gai4kuo4,gàikuò,summarize; generalize,5
果实,果實,guo3shi2,guǒshí,fruit; gains; results,5
次要,次要,ci4yao4,cìyào,secondary; less important,5
往返,往返,wang3fan3,wǎngfǎn,go back and forth; go to and fro,5
好客,好客,hao4ke4,hàokè,hospitable; to enjoy having guests,5
着凉,著涼,zhao2 liang2,zháo liáng,catch a cold,5
提倡,提倡,ti2chang4,tíchàng,promote; to advocate; proposal,5
拐弯,拐彎,guai3 wan1,guǎi wān,turn a corner; make a turn,5
发愁,發愁,fa1 chou2,fā chóu,worry about sth.,5
能干,能干,neng2gan4,nénggàn,capable; competent,5
看不起,看不起,kan4 bu5 qi3,kàn bu qǐ,look down upon; despise,5
广大,廣大,guang3da4,guǎngdà,vast; extensive,5
省略,省略,sheng3lve4,shěnglüè,to omit; to leave out; abbreviate,5
均匀,均勻,jun1yun2,jūnyún,even; well-distributed,5
湿润,濕潤,shi1run4,shīrùn,moist; humid,5
吃亏,吃虧,chi1kui1,chīkuī,suffer losses; get the worst of,5
学问,學問,xue2wen5,xuéwen,learning; knowledge,5
鲜艳,鮮艷,xian1yan4,xiānyàn,bright-colored,5
内科,內科,nei4ke1,nèikē,internal medicine,5
不见得,不見得,bu2jian4de2,bújiàndé,not necessarily; not likely,5
孝顺,孝順,xiao4shun4,xiàoshùn,filial piety,5
光盘,光盤,guang1pan2,guāngpán,CD (compact disc),5
声调,聲調,sheng1diao4,shēngdiào,tone; note,5
灾害,災害,zai1hai4,zāihài,disaster; calamity,5
陆续,陸續,lu4xu4,lùxù,in turn; successively; one after another,5
爱惜,愛惜,ai4xi1,àixī,cherish; treasure; use sparingly,5
国庆节,國慶節,Guo2qing4 Jie2,Guóqìng Jié,National Day,5
一律,一律,yi2lv4,yílǜ,same; uniformly; all; without exception,5
片面,片面,pian4mian4,piànmiàn,one-sided; unilateral,5
鞭炮,鞭炮,bian1pao4,biānpào,firecracker; a long string of small firecrackers,5
清淡,清淡,qing1dan4,qīngdàn,"light (of food, not greasy or strongly flavored) ; insipid;  slack (sales)",5
开水,開水,kai1shui3,kāishuǐ,boiled water; boil water,5
馒头,饅頭,man2tou5,mántou,steamed bun/roll,5
经商,經商,jing1 shang1,jīng shāng,trade; be in business; do commerce,5
扇子,扇子,shan4zi5,shànzi,fan (for waving),5
与其,與其,yu3qi2,yǔqí,rather than; better than,5
日用品,日用品,ri4yong4pin3,rìyòngpǐn,daily necessities,5
胡同,胡同,hu2tong4,hútòng,lane; alley,5
干活儿,干活兒,gan4 huo2r5,gàn huór,do manual labor; to work,5
中旬,中旬,zhong1xun2,zhōngxún,middle third of a month,5
教材,教材,jiao4cai2,jiàocái,teaching materials,5
鼠标,鼠標,shu3 biao1,shǔ biāo,mouse (computer),5
本科,本科,ben3ke1,běnkē,undergraduate,5
文具,文具,wen2ju4,wénjù,stationery; writing supplies,5
煤炭,煤炭,mei2tan4,méitàn,coal,5
推辞,推辭,tui1ci2,tuīcí,to decline; turn down,5
急忙,急忙,ji2mang2,jímáng,hastily,5
提纲,提綱,ti2gang1,tígāng,outline; the key point,5
成语,成語,cheng2yu3,chéngyǔ,idiom; proverb,5
元旦,元旦,yuan2dan4,yuándàn,New Year's Day,5
近代,近代,jin4dai4,jìndài,modern times; latest generation,5
汇率,匯率,hui4lv4,huìlǜ,exchange rate,5
华裔,華裔,Hua2yi4,Huáyì,person of Chinese descent,5
粘贴,粘貼,zhan1tie1,zhāntiē,to paste,5
拼音,拼音,pin1yin1,pīnyīn,pinyin; phonetic writing,5
虚心,虛心,xu1xin1,xūxīn,modest; open-minded,5
挂号,挂號,gua4 hao4,guà hào,register; check into hospital; send by registered mail,5
尺子,尺子,chi3zi5,chǐzi,ruler (measuring instrument),5
标点,標點,biao1dian3,biāodiǎn,punctuation; punctuation mark; punctuate,5
归纳,歸納,gui1na4,guīnà,conclude from the facts; induce; sum up from the facts,5
太极拳,太極拳,tai4ji2quan2,tàijíquán,"Tai chi, a Chinese martial art",5
人民币,人民幣,ren2min2bi4,rénmínbì,(currency) renminbi (RMB),5
名胜古迹,名勝古跡,ming2sheng4gu3ji4,míngshènggǔjì,famous scenic spots and ancient historic sites,5
连忙,連忙,lian2mang2,liánmáng,promptly; at once,5
哦,哦,"o4, o2, e2","ò, ó, é",oh (indicates understanding) | oh (indicates doubt) | to chant,6
嘿,嘿,hei1,hēi,hey; interjection for calling attention,6
嗨,嗨,hai1,hāi,hey/hi (loanword); oh; alas;,6
嘛,嘛,"ma5, ma2","ma, má",(used to persuade somebody to do something); (particle indicating obviousness) | (colloqial) what?,6
家伙,家伙,jia1huo5,jiāhuo,guy; chap; tool; weapon,6
啦,啦,"la5, la1, la2","la, lā, lá",sentence-final particle: a contraction of 了 (le) and 啊 (a); (onomatopoeia),6
喂,喂,"wei4, wei2","wèi, wéi",hey; to feed | hello (on the phone),6
哇,哇,"wa1, wa5","wā, wa",wow; (sound of crying or vomiting) | (used for 啊 after words ending with u or ao),6
拜托,拜托,bai4tuo1,bàituō,ask a favor; request; please!,6
而已,而已,er2yi3,éryǐ,that's all; nothing more,6
夫人,夫人,fu1ren2,fūrén,lady; madam; Mrs.; wife,6
尸体,尸體,shi1ti3,shītǐ,dead body; corpse; carcass,6
现场,現場,xian4chang3,xiànchǎng,scene (of event or incident); on the spot,6
监狱,監獄,jian1yu4,jiānyù,prison; jail,6
啥,啥,sha2,shá,(spoken) what,6
死亡,死亡,si3wang2,sǐwáng,to die; death; be dead,6
拥有,擁有,yong1you3,yōngyǒu,have; possess,6
凶手,凶手,xiong1shou3,xiōngshǒu,murderer; assassin; assailant,6
屁股,屁股,pi4gu5,pìgu,butt; rear; rump,6
选手,選手,xuan3shou3,xuǎnshǒu,athlete; contestant; player,6
投票,投票,tou2piao4,tóupiào,vote; poll,6
撒谎,撒謊,sa1 huang3,sā huǎng,to tell lies,6
武器,武器,wu3qi4,wǔqì,weapon; arms,6
发誓,發誓,fa1shi4,fāshì,to vow; to pledge; swear,6
心眼儿,心眼兒,xin1yan3r5,xīnyǎnr,one's thoughts; mind; intention; willingness to accept new ideas,6
意识,意識,yi4shi5,yìshi,realize; consciousness; awareness; sense,6
线索,線索,xian4suo3,xiànsuǒ,trail; clues; hints; thread (of a story),6
砸,砸,za2,zá,to smash; to pound; to break; fail,6
失踪,失蹤,shi1 zong1,shī zōng,be missing; be unaccounted for,6
真相,真相,zhen1xiang4,zhēnxiàng,the actual facts; reality,6
恐怖,恐怖,kong3bu4,kǒngbù,afraid; terror,6
性感,性感,xing4gan3,xìnggǎn,sex appeal; sexy; sexuality,6
意味着,意味著,yi4wei4zhe5,yìwèizhe,signify; to mean; imply,6
交易,交易,jiao1yi4,jiāoyì,business transaction; deal; trade,6
恶心,惡心,e3xin5,ěxin,disgusting; nauseous; make somebody embarrassed (èxīn: bad/vicious habit; vice),6
舞蹈,舞蹈,wu3dao3,wǔdǎo,a dance,6
副,副,fu4,fù,vice-; secondary; auxiliary; deputy; assistant; classifier for pairs (i.e. glasses),6
事件,事件,shi4jian4,shìjiàn,event; happening; incident,6
攻击,攻擊,gong1ji1,gōngjī,to attack; accuse; to charge,6
试图,試圖,shi4tu2,shìtú,to try; to attempt,6
淘汰,淘汰,tao2tai4,táotài,eliminate (in a competition); natural selection; die/phase out,6
子弹,子彈,zi3dan4,zǐdàn,bullet; cartridge,6
毒品,毒品,du2pin3,dúpǐn,drugs; narcotics; poison,6
袭击,襲擊,xi2ji1,xíjī,surprise attack; to raid,6
灵魂,靈魂,ling2hun2,línghún,soul; spirit; conscience,6
爆炸,爆炸,bao4zha4,bàozhà,explode; explosion; blow up,6
玩意儿,玩意兒,wan2yi4r5,wányìr,thing; toy; gadget,6
盯,盯,ding1,dīng,to stare; to gaze,6
愚蠢,愚蠢,yu2chun3,yúchǔn,silly; stupid,6
跟踪,跟蹤,gen1zong1,gēnzōng,follow somebody's tracks; tail; shadow,6
绑架,綁架,bang3jia4,bǎngjià,kidnap; stalking,6
客户,客戶,ke4hu4,kèhù,customer; account; client,6
将军,將軍,jiang1jun1,jiāngjūn,a general (military officer),6
州,州,zhou1,zhōu,province; sub-prefecture; (United States) state,6
毫无,毫無,hao2 wu2,háo wú,not at all; completely without; not in the least,6
逮捕,逮捕,dai4bu3,dàibǔ,to arrest; to capture,6
成员,成員,cheng2yuan2,chéngyuán,member,6
监视,監視,jian1shi4,jiānshì,oversee; to monitor,6
警告,警告,jing3gao4,jǐnggào,to warn; admonish,6
尝试,嘗試,chang2shi4,chángshì,to try; attempt,6
搭,搭,da1,dā,"to erect; to build; travel by (car, plane, etc.); to hang; to join",6
搭档,搭檔,da1dang4,dādàng,team up; cooperate; work together,6
对付,對付,dui4fu5,duìfu,to handle; deal with,6
荣幸,榮幸,rong2xing4,róngxìng,honored,6
队伍,隊伍,dui4wu5,duìwu,ranks; troops,6
同志,同志,tong2zhi4,tóngzhì,comrade; gay (slang),6
偶像,偶像,ou3xiang4,ǒuxiàng,Idol,6
军队,軍隊,jun1dui4,jūnduì,army troops,6
侦探,偵探,zhen1tan4,zhēntàn,detective,6
确保,確保,que4bao3,quèbǎo,ensure; guarantee,6
耍,耍,shua3,shuǎ,play/mess around with; juggle,6
战斗,戰斗,zhan4dou4,zhàndòu,to fight; to battle; to struggle,6
展示,展示,zhan3shi4,zhǎnshì,open up; reveal; to display,6
进展,進展,jin4zhan3,jìnzhǎn,make progress; development; make headway,6
乐意,樂意,le4yi4,lèyì,be happy/willing do something; content; satisfied,6
丢三落四,丟三落四,diu1san1 la4si4,diūsān làsì,forgetful; scatterbrained,6
解雇,解雇,jie3gu4,jiěgù,fire; lay off; dismiss from,6
时光,時光,shi2guang1,shíguāng,time; era; period of time,6
无辜,無辜,wu2gu1,wúgū,innocent,6
恐惧,恐懼,kong3ju4,kǒngjù,fear; dread; phobia,6
惊讶,驚訝,jing1ya4,jīngyà,surprised; astonished; astound,6
事业,事業,shi4ye4,shìyè,undertaking; project; cause; enterprise,6
不可思议,不可思議,bu4ke3si1yi4,bùkěsīyì,unimaginable; inconceivable,6
案件,案件,an4jian4,ànjiàn,legal case; judicial case,6
档案,檔案,dang4'an4,dàng'àn,file; record; archive,6
协议,協議,xie2yi4,xiéyì,agreement; pact; protocol,6
抢劫,搶劫,qiang3jie2,qiǎngjié,rob; looting,6
代价,代價,dai4jia4,dàijià,price; cost; expense,6
背叛,背叛,bei4pan4,bèipàn,betray; forsake,6
天堂,天堂,tian1tang2,tiāntáng,paradise; heaven,6
释放,釋放,shi4fang4,shìfàng,release; set free; liberate (a prisoner),6
执行,執行,zhi2xing2,zhíxíng,implementation; carry out; execute,6
报警,報警,bao4jing3,bàojǐng,report (an incident) to the police,6
折,折,"zhe2, she2, zhe1","zhé, shé, zhē",to break; to fracture; convert into; to fold | lose money | turn/roll over,6
折磨,折磨,zhe2mo2,zhémó,persecute; to torture,6
卷,卷,"juan3, juan4","juǎn, juàn",to roll (up); to coil; (mw for tapes) | rolled document; file,6
艘,艘,sou1,sōu,(mw for boats and ships),6
罪犯,罪犯,zui4fan4,zuìfàn,criminal,6
情报,情報,qing2bao4,qíngbào,intelligence; information-gathering,6
刺,刺,ci4,cì,thorn; to sting; to prick; pierce; stab,6
暴力,暴力,bao4li4,bàolì,violence; (use) force,6
事故,事故,shi4gu4,shìgù,accident,6
神经,神經,shen2jing1,shénjīng,nerve,6
牺牲,犧牲,xi1sheng1,xīshēng,"sacrifice (one's life, etc.)",6
愤怒,憤怒,fen4nu4,fènnù,angry; indignant; furious; anger; indignation; wrath; ire,6
婴儿,嬰兒,ying1'er2,yīng'ér,baby infant,6
塔,塔,ta3,tǎ,pagoda; tower,6
信仰,信仰,xin4yang3,xìnyǎng,firm belief; faith; believe in (a religion),6
魔鬼,魔鬼,mo2gui3,móguǐ,devil; demon; monster,6
孤独,孤獨,gu1du2,gūdú,lonely; solitary,6
惩罚,懲罰,cheng2fa2,chéngfá,penalty; punishment; to punish; to penalize,6
神奇,神奇,shen2qi2,shénqí,miraculous; magical; mystical,6
磅,磅,"bang4, bang1, pang2","bàng, bāng, páng",pound; weigh; scale,6
承诺,承諾,cheng2nuo4,chéngnuò,to promise; to undertake,6
间谍,間諜,jian4die2,jiàndié,a spy; intelligence agent,6
确信,確信,que4xin4,quèxìn,confident; be certain of; to firmly believe,6
哼,哼,heng1,hēng,groan; snort; to hum; croon,6
尴尬,尷尬,gan1ga4,gāngà,awkward; embarrassed,6
生物,生物,sheng1wu4,shēngwù,organism; living creature; life form,6
能量,能量,neng2liang4,néngliàng,energy; capabilities,6
清醒,清醒,qing1xing3,qīngxǐng,clear-headed; sober; regain consciousness,6
指望,指望,zhi3wang4,zhǐwàng,hope for; count on; hope,6
染,染,ran3,rǎn,dye; to catch (a disease),6
感染,感染,gan3ran3,gǎnrǎn,infection; infect; influence,6
抛弃,拋棄,pao1qi4,pāoqì,discard; abandon; dump (sb),6
美妙,美妙,mei3miao4,měimiào,beautiful (when describing a work of art); wonderful; splendid,6
揍,揍,zou4,zòu,(informal) beat; hit; (regional) smash; break,6
擅长,擅長,shan4chang2,shàncháng,be good at; be expert in,6
忍受,忍受,ren3shou4,rěnshòu,to bear; endure; tolerate,6
动手,動手,dong4shou3,dòngshǒu,get to work; to touch; strike a blow,6
清理,清理,qing1li3,qīnglǐ,cleanup; put in order; check up,6
完毕,完畢,wan2bi4,wánbì,finish; end; complete,6
机构,機構,ji1gou4,jīgòu,structure; organization; institution,6
即将,即將,ji2jiang1,jíjiāng,will shortly; soon; be on the verge of,6
钻石,鑽石,zuan4shi2,zuànshí,diamond,6
艰难,艱難,jian1nan2,jiānnán,difficult; arduous,6
坦白,坦白,tan3bai2,tǎnbái,honest; forthcoming; to confess,6
慈善,慈善,ci2shan4,císhàn,philanthropic; benevolent; charitable,6
痕迹,痕跡,hen2ji4,hénjì,vestige; trace,6
区域,區域,qu1yu4,qūyù,area; region; district,6
镜头,鏡頭,jing4tou2,jìngtóu,"camera shot (in a movie, etc.); scene; camera lens",6
联盟,聯盟,lian2meng2,liánméng,alliance; union; coalition,6
审判,審判,shen3pan4,shěnpàn,put (someone) to trial; to try somebody,6
基地,基地,ji1di4,jīdì,base (of operations),6
嫉妒,嫉妒,ji2du4,jídù,"to be jealous; to envy, covet; to hate; to begrudge",6
摇滚,搖滾,yao2gun3,yáogǔn,rock and roll,6
保姆,保姆,bao3mu3,bǎomǔ,nanny; housekeeper,6
打架,打架,da3 jia4,dǎ jià,to fight; scuffle; to come to blows,6
天赋,天賦,tian1fu4,tiānfù,natural talent,6
打击,打擊,da3ji1,dǎjī,to strike; to hit; to attack,6
类似,類似,lei4si4,lèisì,similar; analogous,6
激情,激情,ji1qing2,jīqíng,passion; strong emotion; fervor; enthusiasm,6
注射,注射,zhu4she4,zhùshè,injection; inject (medicine),6
转移,轉移,zhuan3yi2,zhuǎnyí,to shift; divert; migrate,6
摆脱,擺脫,bai3tuo1,bǎituō,break away; free oneself from; cast off,6
助手,助手,zhu4shou3,zhùshǒu,assistant; helper,6
保密,保密,bao3 mi4,bǎo mì,keep secret/confidential,6
栋,棟,dong4,dòng,roof beam; (mw for buildings),6
迷人,迷人,mi2ren2,mírén,charming; enchanting; cute,6
除,除,chu2,chú,besides; except; remove; to divide (mathematics),6
开除,開除,kai1chu2,kāichú,expel; to discharge; to kick out,6
仪式,儀式,yi2shi4,yíshì,ceremony,6
混乱,混亂,hun4luan4,hùnluàn,confusion; chaotic,6
联络,聯絡,lian2luo4,liánluò,communication; to contact,6
癌症,癌症,ai2zheng4,áizhèng,cancer,6
剑,劍,jian4,jiàn,sword,6
天才,天才,tian1cai2,tiāncái,talent; gift; a genius; talented,6
发射,發射,fa1she4,fāshè,to launch; to shoot (a projectile); to fire (a rocket),6
生存,生存,sheng1cun2,shēngcún,exist; survive,6
结局,結局,jie2ju2,jiéjú,conclusion; ending,6
非法,非法,fei1fa3,fēifǎ,illegal,6
人家,人家,ren2jia1,rénjiā,other people; others; they; I; family; household,6
动机,動機,dong4ji1,dòngjī,motive; motivation; intention,6
欺骗,欺騙,qi1pian4,qīpiàn,deceive; to cheat; to dupe,6
并非,並非,bing4fei1,bìngfēi,really isn't,6
人质,人質,ren2zhi4,rénzhì,hostage,6
扮演,扮演,ban4yan3,bànyǎn,play the part of; act,6
宇宙,宇宙,yu3zhou4,yǔzhòu,universe; cosmos,6
剧本,劇本,ju4ben3,jùběn,script for a play; opera; movie; etc,6
证实,証實,zheng4shi2,zhèngshí,confirm; verify,6
被告,被告,bei4gao4,bèigào,defendant,6
扣,扣,kou4,kòu,to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; put upside down; to smash or spike (a ball); to cover (with a bowl etc); fig. to tag a label on sb,6
时机,時機,shi2ji1,shíjī,opportune time; opportunity,6
辩护,辯護,bian4hu4,biànhù,speak in defense of; argue in favor of; defend,6
起码,起碼,qi3ma3,qǐmǎ,at the minimum; at the very least,6
隐瞒,隱瞞,yin3man2,yǐnmán,conceal; hide; (a taboo subject); cover up,6
宁愿,寧願,ning4yuan4,nìngyuàn,would rather; better,6
社区,社區,she4qu1,shèqū,community,6
助理,助理,zhu4li3,zhùlǐ,assistant,6
渴望,渴望,ke3wang4,kěwàng,to thirst for; to long for; to yearn for,6
溜,溜,liu1,liū,slip away; to skate; to glide,6
太空,太空,tai4kong1,tàikōng,outer space,6
毁灭,毀滅,hui3mie4,huǐmiè,perish; ruin; destroy,6
眼神,眼神,yan3shen2,yǎnshén,expression or emotion showing in one's eyes,6
古怪,古怪,gu3guai4,gǔguài,eccentric; grotesque; oddly,6
进攻,進攻,jin4gong1,jìngōng,attack (military); assault,6
报复,報復,bao4fu5,bàofu,retaliate; revenge,6
荒谬,荒謬,huang1miu4,huāngmiù,ridiculous; nonsensical,6
拨,撥,bo1,bō,to dial; move with a hand/foot; stir; poke; allocate (money),6
卫星,衛星,wei4xing1,wèixīng,satellite,6
期望,期望,qi1wang4,qīwàng,hope; expectation,6
嘲笑,嘲笑,chao2xiao4,cháoxiào,jeer; mock; scoff,6
冒犯,冒犯,mao4fan4,màofàn,to offend,6
娃娃,娃娃,wa2wa5,wáwa,baby; child; doll,6
达成,達成,da2 cheng2,dá chéng,to reach (an agreement); achieve,6
夫妇,夫婦,fu1fu4,fūfù,married couple; husband and wife,6
新娘,新娘,xin1niang2,xīnniáng,bride,6
竞选,競選,jing4xuan3,jìngxuǎn,run for (electoral) office; take part in an election,6
亲密,親密,qin1mi4,qīnmì,intimate; close; familiarity,6
割,割,ge1,gē,to cut (apart/off),6
制服,制服,zhi4fu2,zhìfú,uniform; to subdue; to bring under control,6
直播,直播,zhi2bo1,zhíbō,live broadcast (not recorded),6
崩溃,崩潰,beng1kui4,bēngkuì,collapse; crumble; fall apart,6
宗教,宗教,zong1jiao4,zōngjiào,religion,6
乘,乘,cheng2,chéng,to ride; to mount; make use of; multiply,6
陷入,陷入,xian4ru4,xiànrù,sink into; get caught up in; land in (a predicament),6
回报,回報,hui2bao4,huíbào,repayment; payback,6
试验,試驗,shi4yan4,shìyàn,experiment; test,6
异常,異常,yi4chang2,yìcháng,exceptional; abnormal,6
疾病,疾病,ji2bing4,jíbìng,disease; illness; sickness; ailment,6
展现,展現,zhan3xian4,zhǎnxiàn,come out; emerge; express; show,6
强迫,強迫,qiang3po4,qiǎngpò,compel; to force,6
暗示,暗示,an4shi4,ànshì,drop a hint; suggest,6
当事人,當事人,dang1shi4ren2,dāngshìrén,persons involved or implicated; party (to an affair),6
绝望,絕望,jue2 wang4,jué wàng,desperation; forlorn; hopeless,6
沮丧,沮喪,ju3sang4,jǔsàng,dejected; depressed; dispirited,6
灾难,災難,zai1nan4,zāinàn,disaster; catastrophe,6
正义,正義,zheng4yi4,zhèngyì,justice; righteous,6
荣誉,榮譽,rong2yu4,róngyù,honor; glory,6
技巧,技巧,ji4qiao3,jìqiǎo,skill; technique,6
提议,提議,ti2yi4,tíyì,propose; suggest,6
中央,中央,zhong1yang1,zhōngyāng,central; middle; center,6
即便,即便,ji2bian4,jíbiàn,even if; even though,6
机密,機密,ji1mi4,jīmì,secret; classified (information),6
忠诚,忠誠,zhong1cheng2,zhōngchéng,honest; loyalty; devoted,6
走廊,走廊,zou3lang2,zǒuláng,corridor; hallway,6
症状,症狀,zheng4zhuang4,zhèngzhuàng,symptom (of an illness),6
当初,當初,dang1chu1,dāngchū,at that time; at the outset; originally,6
系列,系列,xi4lie4,xìliè,series,6
保重,保重,bao3zhong4,bǎozhòng,take care (of oneself),6
震惊,震驚,zhen4jing1,zhènjīng,shock; astonish; amaze,6
反抗,反抗,fan3kang4,fǎnkàng,resist; to revolt,6
心灵,心靈,xin1ling2,xīnlíng,heart; soul; smart; quick-witted,6
掩护,掩護,yan3hu4,yǎnhù,cover; shield; screen,6
活力,活力,huo2li4,huólì,energy; vitality; vigor,6
